ID,Program,Degree,Concentration,Requirements
142,FMGMT,"Natural Resource Ecology & Management, B.S.",Forest Resources Management,"1,– Forest Resources Management area of concentration courses:,AGRO 2051,,,CHEM 1212,,,ENTM 4018,/,PLHL 4018,,,PHIL 2020,,,RNR 2003,,,RNR 3004,,,RNR 3034,,,RNR 3036,,,RNR 3037,,,RNR 3040,,,RNR 3041,,,RNR 3103,,,RNR 3105,,,RNR 3106,,,RNR 4001,,,RNR 4032,,,RNR 4036,,,RNR 4038,. Select from,RNR 4150,or,RNR 4900,. Students must complete fall courses,RNR 3002,and,RNR 4001,before 8-week spring courses,RNR 3034,,,RNR 3036,,,RNR 3037,,,RNR 3040,,,RNR 3041,,,RNR 3103,, and,RNR 3105,2,–The 6th semester is intended to include the 8 week field camp experience (,RNR 3034,,,RNR 3036,,,RNR 3037,,,RNR 3040,,,RNR 3041,) preceded by 8 week on-campus courses (,RNR 3103,,,RNR 3105,,,RNR 4032,). Students shall only enroll in 8 week area of concentration and 8 week elective courses during this semester and shall expect to be off campus extended period of time, including overnight trips, during the second 8 weeks."
143,WATERS,"Natural Resource Ecology & Management, B.S.",Watershed Science,"1,- Students may not take:,MATH 1431,2,- Watershed Science area of concentration courses:,MATH 1552,;,RNR 2002,;,AGRO 2051,;,RNR 3004,;,RNR 4025,;,RNR 4150,;,RNR 4900,;RNR 4****,3,; Select one from,3,: GEOL 4****, GEOG 4****, OCS 4****, or AGRO 4****,3,- Selection of GEOL 4****, GEOG 4****, OCS 4****, AGRO 4****, or RNR 4**** will be approved by the student’s academic adviser based on student interest."
144,WTLNDS,"Natural Resource Ecology & Management, B.S.",Wetland Science,"1,- Students may elect to take,MATH 1550,/,MATH 1551,in place of,MATH 1431,.,2,- Wetland Science area of concentration courses:,REQUIRED,:,CHEM 2060,/,CHEM 2261,/,PHYS 2001,/,PHIL 1021,,,OCS 4165,,,RNR 3002,,,RNR 3004,,,RNR 3108,,,RNR 4013,,,BIOL 4020,/,RNR 4020,,,RNR 4033,,,RNR 4103,,,RNR 4107,,,RNR 4150,. Select one course from the following:,RNR 4023,or,RNR 4040,. Select one course from,OCS 4308,,,OCS 4465,, or,OCS 4560,; and select one pair of courses from,RNR 2031,,,RNR 3018,, and,RNR 4011,, or,RNR 2002,and,RNR 4023,, or,RNR 2002,and,RNR 4040,."
145,WLDECL,"Natural Resource Ecology & Management, B.S.",Wildlife Ecology,"1,- Students may elect to take,MATH 1550,/,MATH 1551,in place of,MATH 1431,.,2,- Wildlife Ecology area of concentration courses:,REQUIRED,:,CHEM 2060,/,CHEM 2261,/,PHYS 2001,,,RNR 2031,/,RNR 2072,,,RNR 3005,,,RNR 3018,,,RNR 4011,,,RNR 4051,,,RNR 4103,,,RNR 4107,,,RNR 4913,,,BIOL 4015,/,RNR 4015,. Select one course from:,RNR 4023,or,RNR 4040,. Select eight hours from,3,:,BIOL 4141,,,BIOL 4142,,,BIOL 4146,,,ENTM 4002,,,ENTM 4005,,,ENTM 4040,,,RNR 4012,,,RNR 4013,,,RNR 4016,,,RNR 4037,,,RNR 4064,,,RNR 4110,,,OCS 4012,.,4,- Students seeking federal employment following graduation should consult their academic advisor about federal requirements for animal and plant taxonomy courses."
146,WHCM,"Natural Resource Ecology & Management, B.S.",Wildlife Habitat Conservation & Management,"1,- Students may elect to take,MATH 1550,/,MATH 1551,in place of,MATH 1431,.,2,-Wildlife Habitat Conservation & Management area of concentration courses:,REQUIRED,:,CHEM 2060,/,CHEM 2261,/,PHYS 2001,,,RNR 2001,,,RNR 3002,,,RNR 3034,,,RNR 3036,,,RNR 3040,,,RNR 3041,*,,RNR 3103,,,RNR 3105,,,RNR 3018,,,RNR 4001,,,RNR 4033,,,RNR 4036,,,RNR 4038,,,RNR 4103,,,RNR 4107,,,RNR 4150,. Select one course from:,RNR 3108,or,AGRO 2051,. Select one course or course from:,RNR 3106,,,RNR 3107,,,RNR 4032,. * Take one hour of,RNR 3041,.,3,- The 6th semester is intended to include the 8 week field camp experience (,RNR 3034,,,RNR 3036,,,RNR 3037,,,RNR 3040,,,RNR 3041,) preceded by 8 week on-campus courses (,RNR 3103,,,RNR 3105,). Students shall only enroll in 8 week area of concentration and 8 week elective courses during this semester and shall expect to be off campus extended period of time, including overnight trips, during the second 8 weeks."
147,CROPSC,"Plant & Soil Systems, B.S.",Crop Science,
148,HRTSCS,"Plant & Soil Systems, B.S.",Horticulture Sciences,"1,- A list of approved electives is available in the School of Plant, Environmental, and Social Sciences."
149,MPS,"Plant & Soil Systems, B.S.",Medicinal Plant Sciences,"1,- A list of approved electives is available in the School of Plant, Environmental, and Soil Sciences."
150,SOILSC,"Plant & Soil Systems, B.S.",Soil Science,"1,- A list of approved electives is available from the School of Plant, Environmental, and Soil Sciences"
151,SPS,"Plant & Soil Systems, B.S.",Sustainable Production Systems,"1,- AGEC COURSE: Select one from,AGEC 3303,,,AGEC 3413,,,AGEC 4443,.,2,- A list of approved electives is available in the School of Plant, Environmental & Soil Sciences.,3,- Students who have taken,BIOL 1201,and,BIOL 1202,may elect to take,BIOL 1208,and,BIOL 1209,in place of,BIOL 1005,."
152,,"Plant & Soil Systems, B.S.",Turf and Landscape Management,"1,- A list of approved electives is available in the School of Plant, Environmental, and Soil Sciences."
153,EARM,"Environmental Management Systems , B.S.",Environmental Analysis & Risk Management,"1,- A list of approved electives is available in the School of Plant, Environmental and Soil Sciences. Students may select no more than six hours of approved electives below the 3000-level."
154,PLCYAN,"Environmental Management Systems , B.S.",Policy Analysis,"1,- A list of approved electives is available in the School of Plant, Environmental and Soil Sciences. Students may select no more than six hours of approved electives below the 3000-level."
155,RESCON,"Environmental Management Systems , B.S.",Resource Conservation,"1,- A list of approved electives is available in the School of Plant, Environmental and Soil Sciences.,2,- Select one of the following options:,AGRO 4070,,,HORT 2050,,,HORT 2061,, or,OCS 4308,."
156,DIET,"Nutrition & Food Sciences, B.S.",Dietetics,"1,- General Education Humanities: three hours chosen from a 2000-level English course on the General Education list and three hours chosen from any course on the General Education Humanities list."
157,FST,"Nutrition & Food Sciences, B.S.",Food Science and Technology,The Food Science and Technology concentration offers pre-med and non-pre-med options. Students choosing the non-pre-med option should take 13 hours of general electives.
158,,"Nutrition & Food Sciences, B.S.",Food Science and Technology (with Pre-Medical option),
159,NHS,"Nutrition & Food Sciences, B.S.","Nutrition, Health & Society","1,- General Education Humanities: three hours chosen from a 2000-level literature course on the General Education list and three hours chosen from any course on the General Education Humanities list."
160,NUTR,"Nutrition & Food Sciences, B.S.",Nutritional Sciences/Pre-Medical,"1,- General Education Humanities: three hours chosen from a 2000-level literature course on the General Education list and three hours chosen from any course on the General Education Humanities list."
161,ANPROD,"Animal Sciences, B.S.",Animal Production,"1,- Select from,ANSC 4031,,,ANSC 4052,,,ANSC 4054,,,ANSC 4081,,,ANSC 4084,,,ANSC 4086,,,ANSC 4088"
162,APP,"Animal Sciences, B.S.",Animal Products Processing,"1,-,ANSC 2051,is offered in fall semesters.,ANSC 2052,is offered in spring semesters.,2,- Select from,ANSC 4031,,,ANSC 4052,,,ANSC 4054,,,ANSC 4081,,,ANSC 4084,,,ANSC 4086,,,ANSC 4088"
163,STANI,"Animal Sciences, B.S.",Science & Technology - Animal,"1,-,ANSC 2051,is offered in fall semesters.,ANSC 2052,is offered in spring semesters.,2,- Select from BIOL 2+++, CHEM 2+++, PHYS 2+++, or,ANSC 3060,,,ANSC 3070,,,ANSC 4001,,,ANSC 4005,,,ANSC 4018,,,ANSC 4048,,,ANSC 4050,,,ANSC 4055,,,ANSC 4060,,,ANSC 4090,3,- Select from,ANSC 4031,,,ANSC 4052,,,ANSC 4054,,,ANSC 4081,,,ANSC 4084,,,ANSC 4086,,,ANSC 4088"
164,APPARL,"Textiles, Apparel & Merchandising, B.S.",Apparel Design,"1,- Students must earn a grade of “C” or better."
165,MERCHD,"Textiles, Apparel & Merchandising, B.S.",Merchandising,
166,TEXTIL,"Textiles, Apparel & Merchandising, B.S.",Textile Science,
167,APMP,"Plant & Soil Systems, B.S.",Agricultural Pest Management (Plant Pathology Emphasis),"1,- Select two from the following:,ENTM 4012,,,ENTM 4018,/,PLHL 4018,,,ENTM 3000,/,PLHL 3000,.,2,- A list of approved electives is available in the Department of Plant Pathology & Crop Physiology."
168,APME,"Plant & Soil Systems, B.S.",Agricultural Pest Management (Entomology Emphasis),"1,- Select two from the following:,ENTM 4012,,,ENTM 4018,/,PLHL 4018,,,ENTM 3000,/,PLHL 3000,.,2,- A list of approved electives is available in the Department of Entomology."
169,URBENT,"Plant & Soil Systems, B.S.",Urban Entomology,"1,- A list of approved electives is available from the Department of Entomology."
170,AGBALY,"Agricultural Business, B.S.",Agribusiness Analytics,"1,- For General Education Natural Science, both physical and life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (physical/life) not previously selected.,2,- Option: Must take either,ECON 2000,and,ECON 2010,or,AGEC 2003,and,ECON 2030,.,3,- Nine hours to be selected from the following areas (1) Decision Science- nine hours from,ISDS 3001,,,ISDS 3002,,,ISDS 3003,,,ISDS 4112,, or,ISDS 4180,OR (2) Research - three hours from,EXST 3201,or,ECON 4630,; and six hours from,EXST 4142,,,EXST 4050,,,ECON 4610,,,ECON 4631,,,ECON 4633,, or,HNRS 4000,.,4,- Select one course from the following:,ENGL 2001,,,ENGL 2002,,,ENGL 2005,,,ENGL 2007,,,ENGL 2008,,,ENGL 2009,,,ENGL 2012,,,ENGL 2024,,,ENGL 3003,ENGL 3004,, or,ENGL 3101,.,5,- Students electing to take,ISDS 2001,must take an additional hour of general electives or ROTC.,6,- At least six hours must be taken at the 3000 level or higher."
171,AGBFIN,"Agricultural Business, B.S.",Agribusiness Finance,"1,- For General Education Natural Science, both physical and life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (physical/life) not previously selected.,2,- Option: Must take either,ECON 2000,and,ECON 2010,or,AGEC 2003,and,ECON 2030,.,3,- Six hours to be selected from the following areas (1) Real Estate-,FIN 3351,,,FIN 3352,,,FIN 3353,OR (2) Investment -,FIN 3440,,,FIN 3632,,,FIN 3715,,,FIN 3717,,,FIN 3826,.,4,- Select one course from the following:,ENGL 2001,,,ENGL 2002,,,ENGL 2005,,,ENGL 2007,,,ENGL 2008,,,ENGL 2009,,,ENGL 2012,,,ENGL 2024,,,ENGL 3003,,,ENGL 3004,, or,ENGL 3101,.,5,- Students electing to take,ISDS 2001,must take an additional hour of general electives or ROTC."
172,FIM,"Agricultural Business, B.S.",Food Industry Management,"1,- For General Education Natural Science, both physical and life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (physical/life) not previously selected.,2,- Option: Must take either,ECON 2000,and,ECON 2010,or,AGEC 2003,and,ECON 2030,.,3,- Students electing to take,ISDS 2001,must take an additional hour of general electives or ROTC.,4,- Select one course from the following:,ENGL 2001,,,ENGL 2002,,,ENGL 2005,,,ENGL 2007,,,ENGL 2008,,,ENGL 2009,,,ENGL 2012,,,ENGL 2024,,,ENGL 3003,,,ENGL 3004,, or,ENGL 3101,.,5,- Select six hours from the following:,NFS 4070,,,MKT 3411,,,MKT 3413,,,MKT 3421,,,MKT 4451,,,MGT 3320,,,MGT 4500,,,ENTR 4113,,,MGT 3620,."
173,INTBUS,"Agricultural Business, B.S.",International Business,"1,- For General Education Natural Science, both physical and life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (physical/life) not previously selected.,2,- Option: Must take either,ECON 2000,and,ECON 2010,or,AGEC 2003,and,ECON 2030,.,3 - Select six hours from the following:,ECON 4520,,,ECON 4550,,,MKT 4443,,,MGT 4440,.,4,- Select one course from the following:,ENGL 2001,,,ENGL 2002,,,ENGL 2005,,,ENGL 2007,,,ENGL 2008,,,ENGL 2009,,,ENGL 2012,,,ENGL 2024,,,ENGL 3003,,,ENGL 3004,, or,ENGL 3101,.,5,- Students electing to take,ISDS 2001,must take an additional hour of general electives or ROTC."
174,AGBRDV,"Agricultural Business, B.S.",Rural Development,"1,- For General Education Natural Science, both physical and life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (physical/life) not previously selected.,2,- Option: Must take either,ECON 2000,and,ECON 2010,or,AGEC 2003,and,ECON 2030,.,3 - Select six hours from the following:,ECON 4070,,,ECON 4110,,,ECON 4130,,,GEOG 4046,,,GEOG 4047,,,GEOG 4077,,,SOCL 3505,,,SOCL 4464,,,SOCL 4701,.,4,- Select one course from the following:,ENGL 2001,,,ENGL 2002,,,ENGL 2005,,,ENGL 2007,,,ENGL 2008,,,ENGL 2009,,,ENGL 2012,,,ENGL 2024,,,ENGL 3003,,,ENGL 3004,, or,ENGL 3101,.,5,- Students electing to take,ISDS 2001,must take an additional hour of general electives or ROTC."
175,ALAD,"Agricultural & Extension Education, B.S",Agricultural Leadership and Development,"1,- For General Education Natural Sciences, both physical and life sciences must be taken: 6 hours in a physical/life sciences sequence; 3 hours in an area (physical/life) not previously selected.,2,- Select one from,MATH 1022,,,MATH 1100,,,MATH 1431,,,MATH 1550,3,- An option in Youth and Extension is available. Students must complete,AEEE 2002,,,AEEE 4010,,,AEEE 4101,,,AEEE 4102,plus 12 hours of approved agriculture electives. Students not pursuing the option should take 24 hours of approved agriculture electives."
176,TFE,"Agricultural & Extension Education, B.S",Teaching in Formal Education,"1,- Students in the teaching and learning concentration will complete a 32-hour technical core. The technical hours in the teaching and learning concentration will cover the requirements for the primary teaching focus area. Additionally, students will be allowed to select 12 hours of approved agricultural electives. Students will develop a plan of study in consultation with a faculty advisor."
