ID,Program,degree,type,concentration,credit,hours,restrictions
362,INTMGT,"Management, BS",Major,International Management,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ACCT 2101"", ""ECON 2010"", ""ISDS 2000"", ""Arts"", ""Humanities""], ""Semester 4"": [""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[2]"", ""Natural"", ""MGT 3200""], ""Semester 5"": [""ECON 2035"", ""FIN 3716"", ""ISDS 3115"", ""MGT 3620"", ""MKT 3401""], ""Semester 6"": [""BLAW 3201"", ""MGT 3513"", ""MGT 3320"", ""Elective (3)[5]"", ""International Management Concentration Course (3)[4]""], ""Semester 7"": [""International Management Concentration Course (3)[4]"", ""Humanities"", ""Strategic Leadership Concentration Course (3)[4]"", ""Business Electives (3000/4000-level) (6)[4]""], ""Semester 8"": [""MGT 3830"", ""International Management Concentration Course (3)[4]"", ""Human Resource Management Concentration Course (3)[4]"", ""Elective (6)[5]""]}",120,
363,STRLD,"Management, BS",Major,Strategic Leadership,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ACCT 2101"", ""ECON 2010"", ""ISDS 2000"", ""Arts"", ""Humanities""], ""Semester 4"": [""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[2]"", ""Natural"", ""MGT 3200""], ""Semester 5"": [""ECON 2035"", ""FIN 3716"", ""ISDS 3115"", ""MGT 3620"", ""MKT 3401""], ""Semester 6"": [""BLAW 3201"", ""MGT 3320"", ""MGT 3513"", ""Strategic Leadership Concentration Course (3)[4]"", ""Elective (3)[5]""], ""Semester 7"": [""Strategic Leadership Concentration Course (3)[4]"", ""Humanities"", ""Human Resource Management Concentration Course (3)[4]"", ""Business Elective (3000/4000-level) (6)[4]""], ""Semester 8"": [""MGT 3830"", ""Strategic Leadership Concentration Course (3)[4]"", ""International Management Concentration Course (3)[4]"", ""Elective (6)[5]""]}",120,
364,Information,Information Technology Management Minor,Minor,,"To graduate with a  minor in Information Technology Management , students must complete 15 hours consisting of the following courses:  ISDS 3001   ;  ISDS 3002   ;  ISDS 3003   ; and six additional hours to be chosen from departmentally approved ISDS electives. Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken through LSU. The Information Technology Management minor is  NOT  available to students majoring in ISDS.",120,
365,Entrepreneurship,Entrepreneurship Minor,Minor,,"To graduate with a  minor in entrepreneurship , students must complete 15 hours consisting of the following courses:  ENTR 2000   ;  ENTR 3012   ;  ENTR 3111   ; and six additional hours to be chosen from departmentally approved electives. Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken on this campus and, of the nine hours, at least six must be at the 3000 or 4000 level. The entrepreneurship minor is  NOT  available to students majoring in Entrepreneurship. Non-Business Majors are strongly encouraged to take  ENTR 2999    as an elective, and as the first of the five required courses.",120,
366,Analytics,Analytics Minor,Minor,,"To graduate with a  minor in analytics , students must complete 18 hours consisting of the following courses:  ISDS 2000   ,  ISDS 2001   ,  ISDS 3110    or  ISDS 3003    or  ISDS 3009   , and 9 hours of departmentally approved Analytics electives. Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken on this campus and, of the nine hours, at least three must be at the 3000 or 4000 level.",120,
367,ISAA,"Information Systems & Analytics, BS",Major,Analytics,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ECON 2010"", ""ISDS 2000"", ""ACCT 2101""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""MKT 3401"", ""Oral and Written Communication Requirement 2 (3)[4]""], ""Semester 5"": [""FIN 3716"", ""ISDS 3100"", ""ISDS 3115"", ""MGT 3200"", ""Business Elective (3000/4000-level) (3)[5]""], ""Semester 6"": [""BLAW 3201"", ""ISDS 3110"", ""ISDS 3107"", ""Business Elective (3000/4000-level) (3)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""ISDS 4113"", ""ISDS 4120"", ""Analytics Electives (3)"", ""Humanities"", ""Natural""], ""Semester 8"": [""MGT 3830"", ""ISDS 4125"", ""Analytics Electives (6)"", ""Elective (3)[6]""]}",120,
368,ISACR,"Information Systems & Analytics, BS",Major,Cyber Risk,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ECON 2010"", ""ISDS 2000"", ""ACCT 2101"", ""Arts"", ""Humanities""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""MKT 3401"", ""Oral and Written Communication Requirement 2 (3)[4]""], ""Semester 5"": [""FIN 3716"", ""ISDS 3100"", ""ISDS 3115"", ""MGT 3200"", ""Business Elective (3000/4000-level) (3)[5]""], ""Semester 6"": [""BLAW 3201"", ""ISDS 3110"", ""ISDS 3107"", ""Business Elective (3000/4000-level) (3)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""ISDS 4113"", ""ISDS 4120"", ""Cyber Risk Concentration (3)"", ""Humanities"", ""Natural""], ""Semester 8"": [""MGT 3830"", ""ISDS 4125"", ""Cyber Risk Concentration Electives (6)"", ""Elective (3)[6]""]}",120,
369,ISADSC,"Information Systems & Analytics, BS",Major,Digital Services & Consulting,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ECON 2010"", ""ISDS 2000"", ""ACCT 2101"", ""Arts"", ""Humanities""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""MKT 3401"", ""Oral and Written Communication Requirement 2 (3)[4]""], ""Semester 5"": [""FIN 3716"", ""ISDS 3100"", ""ISDS 3115"", ""MGT 3200"", ""Business Elective (3000/4000-level) (3)[5]""], ""Semester 6"": [""BLAW 3201"", ""ISDS 3110"", ""ISDS 3107"", ""Business Elective (3000/4000-level) (3)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""ISDS 4113"", ""ISDS 4120"", ""Digital Services & Consulting Electives (3)"", ""Humanities"", ""Natural""], ""Semester 8"": [""MGT 3830"", ""ISDS 4125"", ""Digital Services & Consulting Electives (6)"", ""Elective (3)[6]""]}",120,
370,Fine,Fine Art Minor,Minor,,"To graduate with a  minor in fine art , students must complete  ART 1001   ,  ART 1008   1 ,  ART 1009   2 ,  ART 1010   3 ;  ARTH 1440    or  ARTH 1441   ; and two of the following courses:  ART 1360   ,  ART 1551   ,  ART 1661   ,  ART 1762   ,  ART 1848   ,  ART 1849   ,  ART 2050   ,  ART 2655    and  ART 2995   .     1 ART 1008    is a prerequisite for  ART 1551   ,  ART 2050   , and  ART 2995   .   2 ART 1009    is a prerequisite for  ART 1661     and  ART 1762   .   3 ART 1010    is a prerequisite for  ART 1848   . Note: Additional prerequisites may be required for the above courses. Please refer to the list of course descriptions in the “ **COURSE SEARCH**   ” section to determine the proper sequence in which these courses must be completed.",120,
371,Digital,Digital Media AVATAR Arts Minor,Minor,,"To earn a  digital media AVATAR arts minor,  a student must complete 21 credit hours of coursework. These must include:  CSC 1253    or  CSC 1350   ; one course from  ART 1001   ,  ART 1011   ,  ARTH 2470   ,  MUS 1751   ,  MUS 1799   ,  ENGL 2009   ; nine credit hours of approved arts electives; three credit hours of approved engineering and/or science electives; and the three credit hour Art AVATAR capstone course,  ART 4059   . Please see the following for a complete list of  approved electives available for this minor .",120,
372,Ceramics,Ceramics Minor,Minor,,"To graduate with a  minor in ceramics , students must complete  ART 1661   ,  ART 1662   ,  ART 2661     (repeated for six hours of credit), and six semester hours of ceramics courses at the 4000-level.",120,
373,Art,Art History Minor,Minor,,"To graduate with a  minor in art history , students must complete  ARTH 1440   ,  ARTH 1441   , and 12 additional hours in art history at the 4000 level or above.",120,
374,Community,Community Design Minor,Minor,,"To graduate with a  minor in community design , students must complete 18 hours of designated courses. Students are required to take  ARCH 4062   ,  ARCH 4072   ,  ARCH 4700   ,  ARCH 5008   , and one elective selected from  ARCH 4041   ,  ARCH 4353   , or  ARCH 4440   .",120,
375,Architectural,Architectural History Minor,Minor,,"To graduate with a  minor in architectural history , students must complete at least 18 hours of designated courses. To complete the minor, students are required to take  ARCH 2401   ,  ARCH 2007   ,  ARCH 2008   ,  ARCH 4007   . In addition, to complete the required number of credits, students may select additional courses from the following list:  ARCH 4051   ,  ARCH 4440   ,  ARCH 4155   ,  ARCH 4062   ,  ANTH 4440   ;  ARTH 4404   ,  ARTH 4405   ,  ARTH 4406   ,  ARTH 4412   ,  ARTH 4422   ,  LA 2201   ,  LA 3201   ,  ID 4741   .",120,
376,Wildlife,Wildlife Ecology Minor,Minor,,"This minor is open to all majors and areas of concentration except the  natural resource ecology and management   wildlife ecology  area of concentration. To graduate with a  minor in wildlife ecology  (21-25 hrs.), students must complete the following: (1)  required courses −  RNR 1010    or  RNR 1001   ,  RNR 2101   ,  RNR 2031   ,  RNR 2039   ; (2)  area courses −one course selected from the following:  RNR 2102   ,  RNR 3004   ,  RNR 4013   ,  RNR 4103   ,  RNR 4107   , or  RNR 4051   ; (3)  plant taxonomy −one course selected from the following:  RNR 2001   ,  RNR 2018   ,  RNR 2900   ,  RNR 4020   ,  RNR 4060   ;  BIOL 4041    or  BIOL 4055   ;  (4)  animal   taxonomy −one course selected from the following:  RNR 3018   ,  RNR 4012   ,  RNR 4016   ,  RNR 4130   ,  BIOL 4145    or  BIOL 4141   ,  BIOL 4142   ,  BIOL 4146   .",120,
377,Forestry,Forestry Minor,Minor,,"This minor is open to all majors and areas of concentration except natural resource ecology and management areas of concentration in  forest enterprise, forest resource management,  and  wildlife habitat conservation and management.  Courses in this minor have pre-requisites not listed. Please check pre-requisites before attempting this minor. To graduate with a  minor in forestry , students must complete the following:  forest biology − RNR 2001   ,  RNR 2003   ,  RNR 2101   ;  silviculture − RNR 3002   ,  RNR 4001   ;  measurements − RNR 2102   ,  RNR 3103   ;  forestry   electives −select five hours from  ENTM 4018   / PLHL 4018   ;  RNR 3105   ,  RNR 4032   ,  RNR 4033   ,  RNR 4036   , or  RNR 4038   .",120,
378,Fisheries,Fisheries Minor,Minor,,"This minor is open to all majors and areas of concentration except the natural resource ecology and management  fisheries and aquaculture  area of concentration. Courses in this minor have pre-requisites not listed. Please check pre-requisites before attempting this minor. To graduate with a  minor in fisheries  (24-25 hrs.), students must complete the following courses:  fisheries –  RNR 2002   ,  RNR 4023   ,  RNR 4025   ,  RNR 4037   ,  RNR 4040   ,  RNR 4106   , and  RNR 4145   ;  plant taxonomy and ecology −select one from  RNR 4020   / BIOL 4020    or  OCS 4308   / BIOL 4308   .",120,
379,Aquaculture,Aquaculture Minor,Minor,,"This minor is open to all majors and areas of concentration. To graduate with a minor in aquaculture (23-27 hrs.), students must complete the following: required courses (14-15 hrs.) –  RNR 1010    or  RNR 1001   ,  RNR 4022   ,  RNR 4025   ,  RNR 4037   ,  RNR 4145   ;  fisheries −  RNR 4023    or  RNR 4040   ;  plant taxonomy and ecology − select one from:   RNR 4020   / BIOL 4020    or  OCS 4308   / BIOL 4308   .",120,
380,CNSVBL,"Natural Resource Ecology & Management, B.S.",Major,Conservation Biology,"{""Semester 1"": [""AGRI 1001"", ""ENGL 1001"", ""MATH 1021"", ""BIOL 1201"", ""BIOL 1208"", """", ""RNR 1010"", ""RNR 1071""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", """", ""MATH 1431"", ""CHEM 1201"", ""Arts"", ""Humanities""], ""Semester 3"": [""RNR 2039"", ""RNR 2071"", """", ""RNR 2101"", ""RNR 2070"", """", ""RNR 2102"", ""CHEM 1202"", ""Free Elective (3)""], ""Semester 4"": [""ENGL 2000"", ""CMST 2060"", """", ""SOCL 2001"", ""POLI 2051"", """", ""Humanities"", ""Area of Concentration Course (3)[3]"", ""Free Electives (3)""], ""Semester 5"": [""RNR 2001"", ""RNR 4020"", ""BIOL 4020"", ""BIOL 4041"", """", ""ECON 2030"", ""EXST 2201"", ""Area of Concentration Courses (5)[3]"", ""Free Electives (2-0)""], ""Semester 6"": [""RNR 3105"", ""RNR 3004"", ""Area of Concentration Courses (9)[3]"", ""Free Electives (2)""], ""Semester 7"": [""Area of Concentration Courses (11)[3]"", ""Free Electives (5)""], ""Semester 8"": [""RNR 4101"", ""Area of Concentration Courses (10)[3]"", ""Free Electives (2)""]}",120,
381,ECRSTR,"Natural Resource Ecology & Management, B.S.",Major,Ecological Restoration,"{""Semester 1"": [""BIOL 1201"", """", ""BIOL 1208"", ""BIOL 1207"", """", ""ENGL 1001"", ""MATH 1021"", """", ""RNR 1010"", ""RNR 1071"", """", ""AGRI 1001""], ""Semester 2"": [""BIOL 1202"", """", ""BIOL 1209"", ""BIOL 1503"", """", ""CHEM 1201"", ""CHEM 1422"", """", ""MATH 1431"", """", ""Arts"", ""Humanities""], ""Semester 3"": [""CHEM 1202"", """", ""RNR 2001"", ""RNR 4020"", ""BIOL 4020"", ""BIOL 4041"", """", ""RNR 2101"", ""RNR 2070"", """", ""RNR 2102"", """", ""RNR 2039"", ""RNR 2071"", """", ""Free Electives (2-0)""], ""Semester 4"": [""ENGL 2000"", ""CMST 2060"", """", ""SOCL 2001"", ""POLI 2051"", """", ""Area of concentration courses (9)[2]""], ""Semester 5"": [""EXST 2201"", """", ""AGEC 2003"", ""ECON 2030"", ""POLI 1001"", ""POLI 2053"", ""POLI 2057"", """", ""Humanities"", ""Area of concentration courses (3)[2]"", ""Free Electives (2)""], ""Semester 6"": [""Area of concentration courses (4)[2]"", ""Free Electives (12)""], ""Semester 7"": [""Area of concentration courses (15)[2]"", ""Free Electives (2)""], ""Semester 8"": [""RNR 4101"", ""Area of concentration courses (11)[2]""]}",120,
